id	family	voltage_raw	current_raw	voltage_factor	current_factor	polarity	mv	ma_integer	watts_milli_precision	current_ua	signed_ma	signed_watts	voltage_uv	power_mw
1	scale-sign	3700	0	1000	1000	normal	3700	0	0.000	0	0	0.0	3700000	0
2	scale-sign	3700	0	1000	1000	inverted	3700	0	0.000	0	-0	-0.0	3700000	0
3	scale-sign	3700	0	1000	1000	normal	3700	0	0.000	0	0	0.0	3700000	0
4	scale-sign	3700	0	1000	1000	inverted	3700	0	0.000	0	-0	-0.0	3700000	0
5	scale-sign	3700	0	1000	1000000	normal	3700	0	0.000	0	0	0.0	3700000	0
6	scale-sign	3700	0	1000	1000000	inverted	3700	0	0.000	0	-0	-0.0	3700000	0
7	scale-sign	3700	0	1000	1000000	normal	3700	0	0.000	0	0	0.0	3700000	0
8	scale-sign	3700	0	1000	1000000	inverted	3700	0	0.000	0	-0	-0.0	3700000	0
9	scale-sign	3700	-1	1000	1000	normal	3700	-1	0.003	-1000	-1.000	-0.0037	3700000	3
10	scale-sign	3700	-1	1000	1000	inverted	3700	-1	0.003	-1000	1.000	0.0037	3700000	3
11	scale-sign	3700	1	1000	1000	normal	3700	1	0.003	1000	1.000	0.0037	3700000	3
12	scale-sign	3700	1	1000	1000	inverted	3700	1	0.003	1000	-1.000	-0.0037	3700000	3
13	scale-sign	3700	-1000	1000	1000000	normal	3700	-1	0.003	-1000	-1.000	-0.0037	3700000	3
14	scale-sign	3700	-1000	1000	1000000	inverted	3700	-1	0.003	-1000	1.000	0.0037	3700000	3
15	scale-sign	3700	1000	1000	1000000	normal	3700	1	0.003	1000	1.000	0.0037	3700000	3
16	scale-sign	3700	1000	1000	1000000	inverted	3700	1	0.003	1000	-1.000	-0.0037	3700000	3
17	scale-sign	3700	-30	1000	1000	normal	3700	-30	0.111	-30000	-30.00	-0.111	3700000	111
18	scale-sign	3700	-30	1000	1000	inverted	3700	-30	0.111	-30000	30.00	0.111	3700000	111
19	scale-sign	3700	30	1000	1000	normal	3700	30	0.111	30000	30.00	0.111	3700000	111
20	scale-sign	3700	30	1000	1000	inverted	3700	30	0.111	30000	-30.00	-0.111	3700000	111
21	scale-sign	3700	-30000	1000	1000000	normal	3700	-30	0.111	-30000	-30.00	-0.111	3700000	111
22	scale-sign	3700	-30000	1000	1000000	inverted	3700	-30	0.111	-30000	30.00	0.111	3700000	111
23	scale-sign	3700	30000	1000	1000000	normal	3700	30	0.111	30000	30.00	0.111	3700000	111
24	scale-sign	3700	30000	1000	1000000	inverted	3700	30	0.111	30000	-30.00	-0.111	3700000	111
25	scale-sign	3700	-31	1000	1000	normal	3700	-31	0.114	-31000	-31.000	-0.1147	3700000	114
26	scale-sign	3700	-31	1000	1000	inverted	3700	-31	0.114	-31000	31.000	0.1147	3700000	114
27	scale-sign	3700	31	1000	1000	normal	3700	31	0.114	31000	31.000	0.1147	3700000	114
28	scale-sign	3700	31	1000	1000	inverted	3700	31	0.114	31000	-31.000	-0.1147	3700000	114
29	scale-sign	3700	-31000	1000	1000000	normal	3700	-31	0.114	-31000	-31.000	-0.1147	3700000	114
30	scale-sign	3700	-31000	1000	1000000	inverted	3700	-31	0.114	-31000	31.000	0.1147	3700000	114
31	scale-sign	3700	31000	1000	1000000	normal	3700	31	0.114	31000	31.000	0.1147	3700000	114
